No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
368,COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,USA,139.21B,37.39,316.32,0.03%,"2,326,519",S&P 500,37.39,8.46,0.10%,442.32M,4.32%,139.21B,34.17,10.03%,-7.10%,440.52M,2.97%,3.75B,5.34,2.68,71.20%,0.91%,4.18%,160.88B,0.87,11.90%,-0.54%,1.32,8.57%,37.99,8.33,7.50%,321.67,17.17%,26.75,11.82,7.00%,23.00%,262.71 - 325.26,7.62%,2.80,49.74,11.40%,15.80%,-2.75%,0.67,0.89%,0.60,6.30%,13.10%,20.41%,5.13,149000,1.10,7.30%,3.10%,67.36,1.68% 1.59%,Yes,0.58,0.40%,2.30%,0.76,316.23,Yes,0.49,May 28 AMC,30.90%,3.05M,316.32,2.30,4.57%,3.90%,5.00%,"2,326,519",0.03%
369,COTY,Coty Inc.,Consumer Defensive,Household & Personal Products,USA,3.17B,-,4.28,0.23%,"10,306,662",S&P 500,-,-4.04,63.20%,760.80M,-4.25%,3.17B,11.73,128.13%,0.00%,286.01M,-31.08%,-3039.80M,-,-0.11,36.60%,7.61%,-23.02%,7.93B,0.40,-75.40%,-4.63%,1.15,-60.07%,4.91,0.87,-17.20%,5.84,-62.52%,1.73,2.48,-9.00%,-70.50%,3.02 - 13.42,-61.96%,0.50,-,-14.97%,-28.30%,-68.11%,1.05,11.68%,0.90,13.70%,62.00%,41.72%,0.42,19000,1.20,-23.20%,-35.70%,43.82,5.64% 7.81%,Yes,2.51,-,-38.30%,0.54,4.27,Yes,2.46,May 11 BMO,-,18.94M,4.28,3.00,-8.12%,-6.39%,-49.84%,"10,306,662",0.23%
370,COUP,Coupa Software Incorporated,Technology,Software - Application,USA,20.24B,-,304.87,4.99%,"1,707,536",-,-,-1.34,0.50%,67.07M,10.05%,20.24B,482.39,63.31%,-62.69%,66.49M,38.09%,-85.20M,-,0.08,-,14.83%,133.15%,427.60M,47.33,-51.10%,2.68%,5.45,83.92%,7.12,42.82,-5.60%,231.50,122.50%,10.63,28.67,13.45%,-18.50%,99.01 - 297.00,108.46%,-,389.93,-20.70%,-5.20%,2.65%,1.49,-,2.00,50.30%,63.80%,207.92%,11.68,1693,2.00,46.60%,-14.30%,80.81,3.88% 4.66%,Yes,1.47,32.80%,-19.90%,0.94,290.38,Yes,1.23,Jun 08 AMC,-,1.81M,304.87,2.20,17.57%,34.68%,81.85%,"1,707,536",4.99%
371,CP,Canadian Pacific Railway Limited,Industrials,Railroads,Canada,35.16B,20.81,259.23,1.54%,"250,014",-,20.81,12.46,-,135.63M,1.52%,35.16B,13.85,11.80%,-,124.62M,-1.29%,-,3.01,3.58,74.82%,0.43%,17.08%,-,-,1.80%,-,1.05,-0.54%,37.58,6.90,-,361.62,8.61%,-,-,6.92%,-,173.26 - 275.13,1.68%,2.43,-,12.21%,-,-5.78%,-,0.94%,-,-,-,49.62%,6.19,12330,-,15.60%,-,60.99,2.13% 2.38%,Yes,-,-5.80%,-,0.49,255.30,Yes,-,Jul 22 BMO,-,505.77K,259.23,2.20,2.23%,6.24%,8.50%,"250,014",1.54%
372,CPA,"Copa Holdings, S.A.",Industrials,Airlines,Panama,2.07B,9.13,49.81,0.59%,"520,811",-,9.13,5.46,25.30%,42.50M,-1.48%,2.07B,16.63,159.50%,0.00%,31.27M,-18.86%,231.80M,2.62,-3.57,-,11.92%,26.90%,2.63B,0.79,179.90%,-2.42%,3.58,-51.09%,46.51,1.07,5.20%,69.94,-50.74%,24.38,2.04,3.48%,11.90%,24.00 - 116.88,-53.91%,3.20,2.77,-6.50%,9.10%,-57.38%,1.52,6.42%,1.20,0.00%,63.30%,107.54%,3.50,8877,1.20,-11.40%,12.60%,49.90,4.38% 6.76%,Yes,0.74,-17.00%,8.80%,0.50,49.52,Yes,0.56,May 06 AMC,38.50%,1.04M,49.81,2.10,-2.50%,5.65%,-36.81%,"520,811",0.59%
373,CPB,Campbell Soup Company,Consumer Defensive,Packaged Foods,USA,14.96B,35.03,49.53,-0.40%,"1,192,195",S&P 500,35.03,1.41,0.10%,302.00M,-0.20%,14.96B,17.34,-2.52%,-24.56%,169.69M,-0.72%,430.00M,4.34,0.59,49.90%,10.82%,5.97%,7.56B,1.98,-20.40%,-5.99%,7.36,2.78%,8.53,5.81,12.10%,52.68,19.46%,4.11,12.05,8.07%,82.80%,40.03 - 57.54,0.22%,1.40,24.13,-8.70%,8.70%,-13.92%,0.40,2.83%,0.60,-0.40%,34.70%,23.73%,1.18,19000,0.80,14.60%,13.10%,50.05,1.46% 2.18%,Yes,2.60,34.10%,20.30%,0.48,49.73,Yes,2.02,Jun 03 BMO,27.60%,2.50M,49.53,3.00,0.98%,-0.58%,2.44%,"1,192,195",-0.40%
374,CPRI,Capri Holdings Limited,Consumer Cyclical,Apparel Manufacturing,United Kingdom,2.40B,6.98,15.93,2.58%,"3,074,709",-,6.98,2.28,0.70%,150.83M,1.92%,2.40B,5.08,119.62%,0.00%,140.60M,-31.60%,347.40M,2.26,-0.80,96.90%,10.83%,24.55%,5.70B,0.42,-9.40%,-1.01%,2.91,-57.61%,17.30,0.92,4.40%,18.50,-53.56%,1.58,10.11,3.09%,14.20%,5.42 - 39.90,-58.24%,-,5.21,2.20%,13.10%,-60.08%,1.88,-,0.40,9.60%,60.20%,193.91%,1.47,11096,0.80,9.20%,6.70%,48.90,8.11% 8.09%,Yes,0.81,3.90%,6.10%,0.59,15.53,Yes,0.42,Jul 01 BMO,0.00%,5.23M,15.93,2.60,-3.10%,0.40%,-37.04%,"3,074,709",2.58%
375,CPRT,"Copart, Inc.",Industrials,Specialty Business Services,USA,20.18B,29.54,85.20,0.09%,"972,945",S&P 500,29.54,2.88,0.60%,234.13M,2.32%,20.18B,33.02,13.86%,-65.34%,204.83M,-5.59%,687.90M,1.32,0.39,82.30%,1.82%,21.89%,2.22B,9.08,40.00%,2.77%,1.90,-8.75%,9.74,8.75,23.70%,93.14,13.21%,1.29,65.85,22.30%,33.90%,55.69 - 104.88,-6.31%,-,83.45,29.40%,27.70%,-18.76%,1.12,-,2.70,11.90%,45.00%,52.99%,2.57,7327,2.80,-0.50%,36.10%,51.43,2.12% 3.25%,Yes,0.18,-23.70%,31.00%,0.50,85.12,Yes,0.18,May 20 AMC,0.00%,1.97M,85.20,1.90,0.45%,0.83%,0.55%,"972,945",0.09%
376,CPT,Camden Property Trust,Real Estate,REIT - Residential,USA,8.74B,39.91,89.48,-0.26%,"415,524",-,39.91,2.24,1.10%,99.30M,-1.91%,8.74B,54.90,10.58%,-2.07%,95.46M,-11.89%,223.70M,11.09,0.28,95.00%,1.64%,11.17%,1.05B,8.35,36.60%,1.06%,1.86,-14.85%,36.24,2.47,-,103.88,-17.89%,0.23,391.75,3.60%,-,62.48 - 120.73,-15.66%,3.32,-,-6.20%,2.60%,-25.88%,0.79,3.71%,-,5.40%,61.70%,43.21%,3.01,1650,-,7.00%,-,44.07,2.91% 2.99%,Yes,0.72,11.10%,-,0.50,89.71,Yes,0.72,May 07 AMC,-,837.74K,89.48,2.00,-3.73%,-1.45%,-11.62%,"415,524",-0.26%
377,CQP,"Cheniere Energy Partners, L.P.",Energy,Oil & Gas Midstream,USA,16.68B,14.77,34.57,0.09%,"182,397",-,14.77,2.34,29.98%,348.60M,-1.17%,16.68B,15.18,-6.49%,3.21%,40.86M,-14.15%,1.13B,-,0.59,64.90%,5.91%,30.90%,6.81B,2.45,-10.20%,-0.16%,6.03,-16.48%,2.63,13.14,5.90%,35.67,-20.27%,3.59,9.62,-4.70%,140.80%,17.75 - 49.30,-13.16%,2.56,-,31.20%,11.00%,-29.88%,1.22,7.41%,0.90,91.00%,41.20%,94.76%,1.62,1530,0.90,-1.80%,31.20%,42.99,3.71% 4.35%,Yes,19.18,11.80%,16.60%,0.46,34.54,Yes,17.00,Apr 30 BMO,92.30%,400.39K,34.57,2.80,-6.28%,-1.14%,-6.27%,"182,397",0.09%
378,CR,Crane Co.,Industrials,Specialty Industrial Machinery,USA,3.20B,30.31,56.08,-0.58%,"268,123",-,30.31,1.85,1.90%,58.80M,-5.68%,3.20B,11.17,34.22%,-0.44%,49.09M,-15.95%,113.70M,-,0.46,69.90%,1.60%,9.92%,3.25B,0.98,-59.40%,-3.02%,1.76,-35.01%,23.90,2.35,2.60%,69.80,-32.41%,5.31,10.55,-0.10%,7.30%,36.77 - 91.23,-35.08%,1.72,10.42,-7.40%,7.00%,-38.53%,1.53,3.07%,0.90,2.30%,35.80%,52.52%,2.55,13000,1.40,-4.10%,5.70%,48.05,3.64% 4.11%,Yes,0.87,-22.40%,3.50%,0.60,56.41,Yes,0.60,Apr 27 AMC,84.10%,447.74K,56.08,2.00,-1.37%,1.49%,-19.99%,"268,123",-0.58%
379,CREE,"Cree, Inc.",Technology,Semiconductors,USA,6.43B,-,60.78,3.28%,"600,535",-,-,-1.74,0.20%,108.12M,2.69%,6.43B,-,39.60%,0.00%,107.45M,-0.03%,-186.80M,-,-0.19,97.91%,11.72%,63.61%,949.50M,6.77,-237.20%,1.43%,7.79,29.76%,17.94,3.39,-10.30%,52.00,1.35%,8.06,7.54,-,-14.30%,27.77 - 64.95,31.70%,-,-,-20.60%,-1.10%,-6.42%,1.13,-,4.20,-8.10%,30.10%,118.87%,2.28,5319,4.90,-21.40%,-17.10%,58.55,3.83% 3.42%,Yes,0.25,-163.30%,-30.10%,0.37,58.85,Yes,0.25,Apr 29 AMC,-,1.62M,60.78,2.70,1.99%,14.79%,29.48%,"600,535",3.28%
380,CRH,CRH plc,Basic Materials,Building Materials,Ireland,27.19B,15.88,35.83,-0.86%,"608,860",-,15.88,2.26,1.00%,793.90M,4.43%,27.19B,18.66,24.19%,0.00%,776.20M,-1.16%,1.82B,2.41,-,5.50%,0.17%,32.75%,28.27B,0.96,25.00%,-1.75%,1.58,-9.82%,24.00,1.49,-,-,8.58%,5.57,6.44,6.60%,-,17.73 - 40.88,-11.16%,0.91,-,20.50%,7.30%,-12.35%,1.04,2.54%,1.20,5.80%,33.00%,102.09%,1.08,86951,1.60,-0.30%,-,58.99,1.70% 2.54%,Yes,0.62,196.70%,-,0.72,36.14,Yes,0.56,-,-,841.88K,35.83,-,2.66%,10.51%,5.04%,"608,860",-0.86%
381,CRI,"Carter's, Inc.",Consumer Cyclical,Apparel Retail,USA,3.56B,24.37,81.07,0.65%,"586,279",-,24.37,3.33,2.20%,43.36M,0.46%,3.56B,13.65,92.60%,-2.47%,42.58M,-13.74%,148.20M,-,-0.38,-,7.41%,10.74%,3.43B,1.04,-2.60%,-4.29%,5.41,-25.02%,16.51,4.91,-,88.78,-11.56%,17.26,4.70,-2.94%,-,60.17 - 112.46,-25.86%,-,-,10.10%,20.30%,-27.91%,1.28,-,2.40,4.00%,41.40%,34.73%,3.24,20300,3.70,-11.70%,-,46.80,2.85% 3.80%,Yes,1.73,-341.80%,-,1.00,80.55,Yes,1.73,May 05 BMO,-,583.56K,81.07,2.10,-2.57%,-1.49%,-11.93%,"586,279",0.65%
382,CRL,"Charles River Laboratories International, Inc.",Healthcare,Diagnostics & Research,USA,9.09B,37.23,185.09,2.03%,"306,469",-,37.23,4.97,1.60%,49.19M,6.16%,9.09B,22.53,19.01%,-21.20%,48.70M,0.03%,247.70M,2.66,1.26,97.10%,2.58%,38.82%,2.72B,3.34,13.30%,-0.58%,3.21,19.65%,33.58,5.51,5.20%,184.40,32.74%,7.60,24.35,14.00%,15.80%,95.58 - 189.85,21.16%,-,23.60,13.40%,8.50%,-2.51%,1.18,-,1.50,15.10%,36.70%,93.65%,5.39,17100,1.70,17.00%,13.80%,63.44,2.25% 2.78%,Yes,1.44,-8.80%,9.10%,0.79,181.41,Yes,1.41,May 07 BMO,0.00%,390.27K,185.09,1.80,4.77%,9.28%,23.89%,"306,469",2.03%
383,CRM,"salesforce.com, inc.",Technology,Software - Application,USA,179.85B,-,200.28,1.99%,"4,146,030",S&P 500,-,-0.17,0.20%,896.00M,6.91%,179.85B,55.96,20.91%,-52.45%,865.00M,13.44%,-161.00M,-,0.67,84.30%,-,38.06%,18.23B,9.87,-89.60%,0.52%,-,13.80%,38.58,5.19,-0.30%,200.14,30.09%,10.92,18.35,18.32%,-0.60%,115.29 - 200.22,23.14%,-,52.62,18.80%,-0.70%,0.03%,1.08,-,1.10,26.00%,74.90%,73.72%,5.16,49000,1.10,30.20%,-0.30%,66.88,2.27% 2.73%,Yes,0.00,-78.10%,-0.90%,0.63,196.38,Yes,0.08,May 28 AMC,-,6.54M,200.28,1.80,8.09%,13.36%,20.94%,"4,146,030",1.99%
384,CRON,Cronos Group Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,2.16B,2.28,6.19,-1.28%,"2,059,999",-,2.28,2.71,45.43%,348.82M,3.00%,2.16B,-,-,0.00%,182.75M,-22.82%,-,-,-,17.50%,26.27%,10.14%,29.18M,74.00,-,-,7.99,-7.06%,4.92,1.26,-,-,-60.14%,-,-,-,-,4.00 - 15.85,-19.30%,-,-,-,-,-60.95%,-,-,-,-,-,54.75%,0.38,631,-,180.70%,-,48.19,4.09% 5.89%,Yes,-,-75.80%,-,0.34,6.27,Yes,-,May 08 BMO,-,6.01M,6.19,-,-4.45%,-0.51%,-10.23%,"2,059,999",-1.28%
385,CROX,"Crocs, Inc.",Consumer Cyclical,Footwear & Accessories,USA,2.32B,23.33,34.95,3.46%,"863,382",-,23.33,1.50,2.90%,67.93M,-5.08%,2.32B,20.10,69.49%,-4.77%,65.86M,-2.89%,105.90M,2.33,0.13,95.70%,5.89%,95.36%,1.22B,1.91,264.60%,-4.44%,2.73,-16.01%,1.38,25.33,14.20%,33.78,70.65%,1.61,21.70,10.00%,93.00%,8.40 - 43.79,-16.57%,-,86.98,56.80%,38.20%,-20.19%,1.88,-,1.30,0.50%,50.50%,316.07%,2.04,3803,2.20,-5.00%,9.60%,57.21,5.25% 5.69%,Yes,0.00,-51.40%,8.70%,0.61,33.78,Yes,3.72,Apr 23 BMO,0.00%,1.42M,34.95,1.90,4.35%,19.35%,12.56%,"863,382",3.46%
386,CRSP,CRISPR Therapeutics AG,Healthcare,Biotechnology,Switzerland,5.66B,124.89,94.17,3.02%,"1,618,028",-,124.89,0.75,1.50%,60.85M,28.14%,5.66B,-,-13.70%,-29.71%,51.19M,55.58%,45.50M,-,-0.96,60.10%,7.50%,128.07%,289.40M,19.56,134.10%,12.72%,3.69,56.04%,14.56,6.47,5.50%,77.27,96.06%,14.80,6.36,-,6.50%,32.30 - 93.99,54.62%,-,142.92,54.00%,4.90%,0.19%,2.33,-,16.90,-,-,191.55%,5.14,304,16.90,-33.30%,7.40%,80.15,7.90% 6.89%,Yes,0.00,-23.30%,15.70%,1.55,91.41,Yes,0.00,-,0.00%,1.04M,94.17,2.30,31.69%,46.24%,70.82%,"1,618,028",3.02%
387,CRUS,"Cirrus Logic, Inc.",Technology,Semiconductors,USA,3.64B,23.73,62.73,0.18%,"839,142",-,23.73,2.64,0.50%,58.53M,1.54%,3.64B,15.73,26.15%,-53.21%,58.00M,-8.44%,159.50M,2.79,0.30,90.40%,3.38%,-3.04%,1.28B,2.84,80.70%,-3.13%,2.10,-24.90%,21.01,2.99,10.10%,80.50,47.01%,5.42,11.57,8.50%,13.30%,41.23 - 91.63,-23.88%,-,12.98,25.60%,12.30%,-31.54%,0.96,-,3.20,6.90%,52.60%,52.15%,2.78,1443,4.10,16.20%,13.50%,44.60,2.77% 4.87%,Yes,0.00,65.40%,12.40%,0.90,62.62,Yes,0.00,Aug 03 AMC,0.00%,931.48K,62.73,2.30,-0.67%,-8.29%,-9.39%,"839,142",0.18%
388,CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,USA,23.75B,-,114.55,7.64%,"6,904,102",-,-,-0.80,0.90%,213.13M,14.22%,23.75B,602.89,575.00%,-94.27%,145.44M,20.04%,-135.00M,-,-0.01,55.80%,5.05%,92.20%,563.40M,42.15,-34.50%,57.55%,1.14,109.22%,3.53,32.45,-10.10%,105.62,67.35%,4.85,23.63,25.00%,-18.40%,31.95 - 109.68,129.70%,-,193.53,-,-20.00%,4.44%,-,-,2.20,-,71.70%,258.53%,5.69,2583,2.20,85.30%,-25.40%,71.98,4.96% 5.29%,Yes,0.00,31.70%,-24.00%,1.08,106.42,Yes,0.00,Jun 02 AMC,-,6.41M,114.55,2.10,13.44%,29.70%,79.48%,"6,904,102",7.64%
389,CS,Credit Suisse Group AG,Financial,Banks - Diversified,Switzerland,26.60B,6.39,10.51,1.35%,"2,174,657",-,6.39,1.65,3.10%,2.47B,1.94%,26.60B,7.36,18.70%,0.00%,2.02B,-4.02%,4.21B,0.44,-,2.70%,0.19%,26.38%,20.79B,1.28,71.80%,-0.82%,1.09,-23.11%,20.87,0.50,0.50%,13.51,-11.20%,164.53,0.06,14.50%,8.80%,6.41 - 14.00,-21.17%,0.14,-,6.20%,1.80%,-24.91%,1.44,1.33%,-,1.20%,-,63.88%,0.33,48500,-,-10.90%,31.60%,58.61,1.75% 2.67%,Yes,2.98,82.00%,20.30%,0.61,10.37,Yes,2.98,May 14 BMO,14.70%,3.58M,10.51,2.00,2.90%,12.28%,-5.19%,"2,174,657",1.35%
390,CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,USA,195.25B,16.85,45.81,0.39%,"14,632,169",DJIA S&P500,16.85,2.72,0.04%,4.23B,-1.78%,195.25B,14.52,0.22%,-9.85%,4.22B,-4.82%,11.60B,2.73,0.74,74.40%,0.81%,12.72%,50.58B,3.86,30.30%,-0.14%,1.44,-3.54%,8.44,5.43,11.60%,48.81,-18.69%,6.70,6.83,6.18%,31.00%,32.40 - 58.26,-4.48%,1.44,22.15,13.50%,20.80%,-21.37%,0.96,3.14%,1.50,1.90%,64.40%,41.39%,1.15,75900,1.60,-7.50%,27.80%,51.25,1.56% 2.53%,Yes,0.45,-5.20%,21.30%,0.61,45.63,Yes,0.32,May 13 AMC,55.10%,23.93M,45.81,2.30,-0.07%,1.99%,1.96%,"14,632,169",0.39%
391,CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,USA,28.75B,88.50,730.00,0.92%,"237,837",-,88.50,8.25,1.10%,36.47M,2.72%,28.75B,62.35,25.67%,-11.35%,36.29M,6.55%,302.60M,4.78,2.00,91.40%,2.81%,23.80%,1.46B,19.65,31.50%,0.58%,3.28,17.74%,94.95,7.69,7.60%,734.64,28.74%,48.94,14.92,18.50%,9.10%,500.24 - 747.11,22.01%,-,72.45,42.50%,8.80%,-2.29%,1.10,-,8.70,19.40%,79.70%,45.93%,20.17,4337,8.70,19.30%,23.60%,61.98,2.30% 2.92%,Yes,0.22,-15.00%,20.70%,0.77,723.34,Yes,0.22,Jul 28 AMC,0.00%,310.34K,730.00,1.90,4.44%,9.01%,16.31%,"237,837",0.92%
392,CSL,Carlisle Companies Incorporated,Industrials,Building Products & Equipment,USA,6.30B,14.30,114.37,-0.72%,"347,439",-,14.30,8.00,0.80%,55.80M,-4.43%,6.30B,15.81,27.75%,-8.20%,54.37M,-16.44%,456.90M,0.95,1.06,91.80%,2.83%,-5.83%,4.77B,1.32,41.20%,-2.90%,3.17,-28.11%,45.13,2.53,8.00%,147.00,-15.90%,21.56,5.31,15.00%,17.40%,97.55 - 169.86,-29.33%,2.00,14.00,16.50%,12.60%,-32.67%,0.83,1.75%,3.40,8.50%,28.50%,17.24%,4.28,13000,4.30,-3.90%,13.30%,41.89,2.78% 3.16%,Yes,1.02,-18.50%,9.50%,0.71,115.20,Yes,1.02,Jul 21 AMC,23.70%,486.04K,114.37,1.80,-5.07%,-4.48%,-18.65%,"347,439",-0.72%
393,CSOD,"Cornerstone OnDemand, Inc.",Technology,Software - Application,USA,2.45B,-,37.47,-0.29%,"657,267",-,-,-0.24,4.20%,61.63M,-2.83%,2.45B,16.56,116.87%,-8.01%,60.20M,-12.15%,-14.40M,-,0.18,90.30%,3.59%,26.59%,586.50M,4.17,88.90%,1.54%,2.28,-36.34%,2.94,12.74,-1.60%,44.00,-38.44%,6.99,5.36,31.57%,-10.10%,22.22 - 64.45,-36.00%,-,24.62,43.90%,2.00%,-41.86%,1.40,-,1.60,16.90%,73.20%,68.63%,1.54,2000,1.60,7.10%,1.40%,45.89,3.95% 4.11%,Yes,0.00,-281.60%,-2.40%,0.69,37.58,Yes,1.62,May 11 AMC,-,947.13K,37.47,2.30,-2.20%,0.74%,-20.96%,"657,267",-0.29%
394,CSX,CSX Corporation,Industrials,Railroads,USA,52.42B,16.66,69.10,0.85%,"2,969,938",S&P 500,16.66,4.15,0.10%,772.00M,-0.92%,52.42B,16.81,18.44%,-49.36%,764.58M,-7.04%,3.27B,3.38,0.67,76.60%,0.88%,13.00%,11.78B,4.45,8.60%,-0.27%,1.53,-5.34%,15.38,4.49,8.50%,73.52,-9.91%,3.27,21.12,4.92%,27.30%,46.81 - 80.62,-4.51%,1.04,21.83,16.80%,14.20%,-14.29%,1.24,1.51%,1.60,-1.20%,77.70%,47.62%,2.06,20500,1.70,-5.20%,41.80%,50.21,2.16% 2.91%,Yes,1.41,-2.40%,27.70%,0.68,68.52,Yes,1.39,Jul 22 AMC,23.60%,4.36M,69.10,2.40,-0.32%,0.92%,-0.03%,"2,969,938",0.85%
395,CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,27.95B,30.76,271.31,0.49%,"399,150",S&P 500,30.76,8.82,15.58%,104.25M,1.86%,27.95B,38.08,-10.38%,0.00%,87.84M,-6.93%,951.80M,3.17,1.21,66.10%,2.32%,45.94%,7.26B,3.85,43.60%,-2.19%,2.70,0.46%,31.89,8.51,12.60%,254.00,13.79%,2.28,119.24,9.70%,31.20%,154.33 - 304.81,0.83%,2.55,29.19,21.20%,15.60%,-10.99%,1.43,0.94%,2.00,9.00%,46.10%,75.80%,8.09,45000,2.30,7.60%,17.40%,57.69,1.80% 2.84%,Yes,0.82,17.90%,13.40%,0.53,269.98,Yes,0.76,-,27.30%,754.80K,271.31,2.60,0.74%,8.99%,7.40%,"399,150",0.49%
396,CTL,"CenturyLink, Inc.",Communication Services,Telecom Services,USA,10.84B,8.71,9.80,-1.01%,"9,137,993",S&P 500,8.71,1.13,0.70%,1.08B,-2.29%,10.84B,7.39,3.67%,0.98%,991.36M,-13.81%,1.21B,1.45,0.32,79.50%,11.70%,3.16%,21.98B,0.49,-219.40%,0.58%,9.99,-23.02%,12.36,0.79,1.90%,9.86,-16.81%,1.41,6.93,6.00%,8.90%,8.16 - 15.30,-25.81%,1.00,5.37,-41.30%,-6.70%,-35.95%,0.99,10.20%,0.80,4.40%,55.50%,20.10%,0.39,42500,0.80,-3.70%,17.10%,45.92,2.55% 3.76%,Yes,2.60,105.00%,5.50%,0.79,9.90,Yes,2.52,May 06 AMC,88.70%,11.61M,9.80,3.30,-2.76%,-2.68%,-18.05%,"9,137,993",-1.01%
397,CTLT,"Catalent, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,12.51B,102.58,76.22,3.38%,"911,481",-,102.58,0.74,0.20%,163.81M,3.98%,12.51B,37.55,9.67%,-2.71%,154.03M,1.18%,109.80M,11.19,0.64,98.80%,1.95%,44.58%,2.87B,4.36,-0.60%,6.03%,1.96,35.41%,14.46,5.27,1.70%,76.00,39.78%,3.71,20.57,9.17%,6.10%,31.04 - 80.52,35.38%,-,-,30.50%,5.10%,-5.34%,1.61,-,1.60,6.60%,31.50%,145.55%,2.13,12300,1.90,23.20%,11.40%,61.11,2.20% 2.54%,Yes,1.46,-64.30%,3.80%,0.59,73.73,Yes,1.34,May 05 BMO,0.00%,1.53M,76.22,1.80,5.76%,4.89%,31.80%,"911,481",3.38%
398,CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,USA,30.29B,17.44,55.70,-0.27%,"1,747,551",S&P 500,17.44,3.19,0.10%,546.00M,-1.97%,30.29B,14.36,15.86%,-30.85%,539.31M,-4.92%,1.77B,5.99,0.69,94.80%,2.23%,16.53%,16.90B,1.79,-8.40%,-0.16%,3.22,-7.66%,19.44,2.87,10.90%,59.23,-13.48%,7.87,7.07,2.91%,16.50%,40.01 - 71.48,-10.19%,0.88,16.19,7.00%,15.40%,-22.08%,1.15,1.58%,2.90,10.30%,36.10%,39.22%,1.57,291700,2.90,2.80%,14.80%,49.59,2.27% 2.88%,Yes,0.23,-12.40%,10.50%,0.47,55.85,Yes,0.23,May 07 AMC,25.60%,3.73M,55.70,3.00,0.42%,1.23%,-4.63%,"1,747,551",-0.27%
399,CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,USA,18.98B,109.11,25.86,-4.72%,"5,560,351",S&P 500,109.11,0.24,0.10%,749.90M,-3.47%,18.98B,15.54,17.76%,9.52%,747.63M,-13.83%,179.00M,11.12,1.27,80.60%,1.35%,5.42%,14.41B,1.32,95.80%,-2.94%,2.28,-9.17%,31.77,0.81,-2.00%,30.77,-4.19%,2.69,9.62,9.81%,-3.40%,20.38 - 32.78,-12.52%,0.52,-,-,-1.20%,-21.11%,-,2.01%,1.10,-,40.10%,26.89%,1.09,21000,1.60,16.50%,1.90%,42.05,3.69% 3.46%,Yes,0.11,237.60%,-5.90%,1.25,27.14,Yes,0.03,May 07 BMO,-,4.44M,25.86,2.60,-5.16%,-2.33%,-3.25%,"5,560,351",-4.72%
400,CTXS,"Citrix Systems, Inc.",Technology,Software - Application,USA,18.40B,26.19,149.69,-0.26%,"1,097,014",S&P 500,26.19,5.72,1.00%,124.74M,1.20%,18.40B,24.33,9.31%,-10.96%,122.47M,7.01%,752.70M,4.09,1.24,98.10%,3.86%,2.67%,3.15B,5.84,33.70%,-3.87%,2.49,33.16%,-1.76,-,18.00%,147.80,51.26%,4.48,33.42,6.40%,163.70%,90.28 - 155.10,34.98%,1.40,32.66,27.90%,44.80%,-3.49%,0.35,0.94%,0.80,-0.90%,85.40%,65.81%,3.68,8400,0.80,19.70%,19.50%,58.70,2.09% 2.42%,Yes,-,81.50%,23.90%,0.58,150.08,Yes,-,Apr 23 BMO,24.00%,1.90M,149.69,2.50,3.53%,4.02%,21.61%,"1,097,014",-0.26%
401,CUBE,CubeSmart,Real Estate,REIT - Industrial,USA,5.28B,31.18,27.72,0.76%,"998,842",-,31.18,0.89,0.30%,193.58M,2.70%,5.28B,35.49,1.56%,0.00%,192.46M,-4.97%,171.50M,5.20,0.19,99.20%,3.78%,5.52%,655.20M,8.06,-0.10%,-1.48%,4.77,-10.78%,9.21,3.01,4.30%,27.80,-20.46%,0.19,147.89,6.00%,9.60%,19.61 - 36.32,-11.94%,1.32,107.97,46.10%,6.20%,-23.68%,0.28,4.76%,-,11.30%,67.30%,41.36%,0.83,3011,-,7.40%,35.90%,51.31,2.72% 2.91%,Yes,1.08,3.30%,26.20%,0.66,27.51,Yes,1.08,May 07 AMC,145.70%,1.52M,27.72,3.20,0.65%,3.76%,-6.66%,"998,842",0.76%
